                            Variables index correlation     qvalue pvalue
M5.31_886.5565n       M5.31_886.5565n  1001   0.2877895 0.08543946  0.006
M0.96_253.2170m.z   M0.96_253.2170m.z    69   0.2877783 0.07764059  0.005
M8.11_287.1159m.z   M8.11_287.1159m.z  2413   0.2876726 0.09846512  0.008
M4.97_706.5374m.z   M4.97_706.5374m.z  2697   0.2875272 0.09359368  0.007
M2.83_203.0824m.z   M2.83_203.0824m.z  3923   0.2873149 0.09846512  0.008
M4.85_768.5898m.z   M4.85_768.5898m.z   410   0.2869165 0.10875000  0.010
M2.58_156.0665m.z   M2.58_156.0665m.z  5357   0.2868098 0.07017680  0.004
M11.52_527.1930m.z M11.52_527.1930m.z   392   0.2867187 0.09846512  0.008
M9.05_213.1496m.z   M9.05_213.1496m.z  2915   0.2866913 0.08543946  0.006
M14.06_208.1000m.z M14.06_208.1000m.z  5942   0.2865340 0.09359368  0.007
M8.43_386.2890m.z   M8.43_386.2890m.z  2464   0.2863573 0.09359368  0.007
M8.15_283.0681m.z   M8.15_283.0681m.z  3360   0.2858850 0.07017680  0.004
M5.79_308.1853m.z   M5.79_308.1853m.z  1727   0.2857769 0.10373684  0.009
M4.89_772.6206m.z   M4.89_772.6206m.z  1354   0.2855606 0.10373684  0.009
M8.36_241.1444m.z   M8.36_241.1444m.z  1423   0.2854200 0.09846512  0.008
M4.80_835.6092n       M4.80_835.6092n   421   0.2853928 0.10373684  0.009
M5.60_674.5346n       M5.60_674.5346n  1006   0.2851051 0.08543946  0.006
M6.04_222.0769m.z   M6.04_222.0769m.z  5468   0.2849260 0.08543946  0.006
M4.51_794.5657m.z   M4.51_794.5657m.z  4737   0.2844734 0.10373684  0.009
M2.07_218.1031m.z   M2.07_218.1031m.z  2709   0.2842785 0.10373684  0.009
M3.27_307.2642m.z   M3.27_307.2642m.z  5367   0.2842122 0.12415489  0.013
M10.25_253.1792m.z M10.25_253.1792m.z  5053   0.2838420 0.10373684  0.009
M4.85_98.9841m.z     M4.85_98.9841m.z  3072   0.2837904 0.09359368  0.007
M6.65_271.1086m.z   M6.65_271.1086m.z  4058   0.2836268 0.07764059  0.005
M4.83_864.5772m.z   M4.83_864.5772m.z   431   0.2836112 0.10875000  0.010
M12.87_403.2122m.z M12.87_403.2122m.z   641   0.2836014 0.07017680  0.004
M0.96_281.2482m.z   M0.96_281.2482m.z     7   0.2835845 0.08543946  0.006
M4.83_796.6204m.z   M4.83_796.6204m.z   620   0.2834751 0.11926761  0.012
M4.72_854.5675m.z   M4.72_854.5675m.z  1572   0.2833248 0.11926761  0.012
M4.82_820.6217m.z   M4.82_820.6217m.z  1013   0.2831166 0.10373684  0.009
M7.92_190.0589n       M7.92_190.0589n  3699   0.2829892 0.08543946  0.006
M4.73_801.6278n       M4.73_801.6278n  2722   0.2823284 0.11341071  0.011
M12.87_485.2152m.z M12.87_485.2152m.z   490   0.2822916 0.08543946  0.006
M8.94_277.1422m.z   M8.94_277.1422m.z  3064   0.2816999 0.10373684  0.009
M11.91_573.2414m.z M11.91_573.2414m.z  2112   0.2805017 0.09846512  0.008
M1.55_211.1700m.z   M1.55_211.1700m.z  4120   0.2803947 0.08543946  0.006
M4.99_222.0931m.z   M4.99_222.0931m.z  4012   0.2798059 0.11341071  0.011
M9.12_369.2869n       M9.12_369.2869n   796   0.2796921 0.07764059  0.005
M11.30_316.2608n     M11.30_316.2608n   475   0.2794478 0.11341071  0.011
M12.29_356.2917n     M12.29_356.2917n   155   0.2788575 0.10373684  0.009
M6.22_312.2159m.z   M6.22_312.2159m.z  2850   0.2788342 0.08543946  0.006
M4.63_715.5142n       M4.63_715.5142n  2496   0.2780395 0.11926761  0.012
M10.43_291.1963m.z M10.43_291.1963m.z  3991   0.2772630 0.09359368  0.007
M4.82_811.6088n       M4.82_811.6088n   182   0.2768006 0.11341071  0.011
M6.24_211.0638m.z   M6.24_211.0638m.z  4291   0.2765759 0.10875000  0.010
M5.73_159.0562m.z   M5.73_159.0562m.z  5718   0.2758202 0.07764059  0.005
